200000 1
10539 62802 133787
50354 186053 2991
36990 177944 165759
49072 22057 69201
75462 15115 7086
37363 141302 107196
75280 190591 94795
138811 64968 156590
63820 176505 96782
44668 78319 57722
36484 84596 110913
119520 71665 126083
23573 7072 40005
166959 186117 22981
100956 71198 133582
35710 161304 196045
118761 195333 8611
91435 63052 72187
101959 57952 181727
24456 85173 5447
48782 131886 66931
19587 126490 69050
127398 126241 155169
383 184698 88048
149656 23711 57218
198655 13764 56285
13204 93508 12610
109587 53469 25285
48808 74654 128671
141285 96222 171393
127007 93552 55469
96272 121300 124417
92716 17968 103700
116897 32127 103109
99605 104904 43600
32846 129107 47395
187183 40280 167345
74586 188089 132613
86703 68210 50137
132122 148431 156775
169174 144541 98048
132205 158372 48285
18126 186836 160307
156470 117117 150347
150815 163908 154065
69414 26835 13291
61463 69777 94925
25770 55699 166923
121017 132433 61103
127956 6940 165644
150721 158671 71315
56522 103940 40420
77262 170762 49384
163190 197204 79837
51846 47859 175025
26550 185799 60308
51471 3827 73288
167048 7887 56699
49759 138146 37398
110926 103120 137239
13792 142033 189533
136874 89635 193794
66409 23169 191790
160273 154645 99562
68961 10602 31667
77261 96613 117456
103146 139509 38310
69682 183561 86091
47338 132482 126808
170493 95530 26562
78224 178659 137899
70821 116707 629
86531 145887 115288
180065 20870 183349
82946 80304 41579
131555 146455 72616
86520 194245 128961
54752 160783 100294
161297 130049 190865
90853 18586 30814
9367 177338 182368
116132 187417 169298
81174 124347 104907
3733 184225 67414
33364 70146 67201
161758 12923 10549
21904 68099 97287
38374 154850 137420
39721 140707 10738
36962 14216 118477
172934 129789 134512
125496 62609 60478
165056 74081 156736
110220 141781 120823
160828 99024 145397
181773 59938 101416
10525 23233 71799
29987 161593 120528
41439 608 168705
79066 132429 60935
95327 88969 115620
98928 17287 181237
85759 70289 12611
59291 26756 120728
185090 178174 188245
9157 85013 103875
147256 153802 141991
196975 171837 95129
130999 70308 66711
187821 184823 156694
154778 158766 134298
28120 109486 80198
4878 10624 180278
75001 10883 183692
172500 12324 15625
103771 45003 42589
77249 180824 111168
157937 156814 182018
35425 105359 88225
75626 129289 8602
98494 102832 15234
138207 32621 49941
145360 99541 145039
28224 53534 57082
179503 118926 17352
25177 38452 167394
92474 81948 18112
128030 108669 25018
145007 22326 62559
21995 57721 181189
49060 163207 171169
144364 128285 23128
57750 90477 85589
161068 100881 92637
125321 142396 35104
24735 115506 193616
90423 24121 191671
145939 74384 169029
111624 21920 42024
165979 167025 125024
88212 194591 101458
94473 151629 153435
19332 2648 100520
63865 25743 8772
105078 91939 125297
141395 133530 77884
109604 59849 90315
104235 178690 68089
134121 68298 48164
50462 98447 12485
142356 126488 44672
161045 78718 109628
99049 69722 177846
6825 172351 114322
169313 31274 79155
166475 131704 76363
102183 27415 130293
130134 65408 72961
58330 20516 43408
6082 26405 24610
419 70855 185517
118059 121895 11504
152265 193515 161414
184614 84090 107199
182820 136814 176108
106411 54408 113721
81036 183332 107073
127336 132205 140253
63301 6674 183294
26600 180281 61500
89848 163316 132526
150372 15986 111420
135502 64055 2289
54364 108815 47061
132734 31487 53434
78211 830 127958
100147 104739 156114
30972 62879 196256
130266 30700 167635
12722 21638 158058
127597 3226 135085
105204 179965 68860
132799 36511 33700
111944 39295 94900
116684 102753 165584
190806 113151 160772
192681 137724 2459
194542 196959 46641
48660 109182 37383
189423 182649 128214
102868 147946 172198
22365 54618 13279
45697 161142 149792
50888 123137 37071
121373 2572 125936
13516 139749 197242
95286 134156 75751
191716 164716 168651
129728 144713 103912
155238 160693 66880
101040 174152 103786
71840 121103 50921
113904 172612 171578
80572 187007 55724
92939 153389 2678
37061 58494 161092
63882 171683 13778
113069 65785 91709
70440 189824 36119
174764 146256 17210
101140 70860 6815
2177 130711 75952
158927 94406 13531
179973 125207 107048
77843 82850 154381
176609 142478 82496
56723 183813 123662
193998 77803 129387
33815 148875 75273
28485 121747 181676
95186 70530 143870
53595 168287 191583
123402 77100 171072
77163 48604 177201
135392 72193 170679
16713 195913 64611
66295 26283 16863
136080 106524 165899
19756 25736 88199
30791 128574 148498
119000 94251 191699
178517 100938 184375
129631 119450 63099
173587 38930 161354
120021 35538 15818
91176 156314 41138
36524 149887 9503
133719 141787 192296
139378 73285 121647
146607 176065 169914
156709 57914 89473
181360 198574 37129
18223 19369 112369
11371 139829 181643
147804 32016 8045
92690 179935 177673
61681 120866 41531
112340 48873 105442
7464 120327 100209
134890 124228 39111
153161 158743 6268
91942 154324 113661
122763 149539 123674
50733 2674 141470
1629 189036 20767
103116 171626 66072
97727 66985 127604
28558 102654 38124
162251 118534 198419
89589 145889 33584
21945 146592 195341
171326 140988 81038
93187 63497 84228
86673 143468 83715
80794 104522 117745
87512 190274 140384
23411 116380 185439
122311 9218 151629
113668 1966 83182
111844 124068 18305
175305 119331 8657
116407 134039 88715
26273 34385 15248
140863 87801 169484
108275 172354 19335
138411 27232 104826
173933 50614 148389
26686 191636 34079
158840 126432 165294
186223 118738 198360
34234 85797 161530
175708 195019 148311
40523 117536 74739
173613 135586 58274
22048 71521 55451
23248 125106 141137
23998 126505 169412
160703 125382 39251
159332 5999 147478
151665 49503 182826
31071 174174 110412
151766 79346 89898
171777 172629 123575
106538 130151 61054
166371 167973 87418
112396 82267 107108
114072 59159 96844
124963 150623 99436
68728 138404 167929
20594 24246 83324
189547 59322 131553
4410 110299 96719
142522 45438 11704
157013 149881 53809
4676 44420 87172
183154 48177 79877
28939 140377 137059
181129 176215 135615
187550 190906 12610
151549 91765 15915
74361 106778 19366
184287 38663 27940
24241 137120 145575
136703 103614 88477
27091 47078 33968
18296 177533 55004
80503 166715 2305
191409 15519 25530
41757 164386 184109
94100 13487 5540
71044 106833 115612
198473 165870 129949
116501 139699 170250
180895 172560 101626
89231 3879 27334
180008 183743 116196
150232 157182 73908
147897 48791 74522
91234 138176 84684
154387 129384 61804
66742 11560 133336
60588 32696 188609
94270 92132 136890
37932 63358 158930
31923 122134 174820
18766 19240 101164
76981 96277 96542
85433 195542 119730
90555 40045 79811
111685 58076 66201
172645 55963 199748
65094 188932 115371
28867 154129 94883
149596 48970 36485
178780 73656 160186
136026 166110 177112
50186 58665 62962
49916 173478 142059
3023 54899 162828
182803 115257 162391
133110 66457 94172
8818 41125 112266
65534 132049 128968
104816 151913 190149
168508 186117 57229
20516 83004 197662
142973 41942 179579
182423 169540 110015
191793 114900 65460
147343 80416 172773
192685 99399 87985
152007 197663 128353
4864 108586 91133
70172 96135 14554
183796 43498 161143
68326 139791 188810
190734 123371 29845
49810 32740 18813
143465 36419 191836
171189 22824 182293
13705 63485 97897
52157 181486 90504
5046 116248 113579
59621 91968 62112
118575 99654 7974
132594 103641 15482
137069 117101 165489
74385 178539 75464
129035 160361 144121
103277 194075 169103
115832 30536 147196
84915 77952 25834
72330 193100 140815
173704 83111 130757
97794 76205 177049
58101 55826 18018
75662 181653 178069
68917 7604 39192
131070 3106 165716
171781 134839 135630
147946 97831 169017
48940 177142 149509
139029 192043 126971
110179 188483 127052
66175 99880 17766
67642 176354 85001
193366 58509 64986
146582 101516 116151
97409 117757 185994
83752 177454 105698
135738 93454 32575
43806 160679 131053
79202 113227 179347
195688 76237 171916
17244 5171 104502
18731 192553 67914
123669 67255 68525
149483 2294 49157
18464 94207 34702
65122 149222 141293
158602 193382 69444
140858 162397 100296
122497 121850 94545
68676 67444 82993
15238 7805 1479
145530 78583 5012
14739 189799 183246
31677 16039 52404
4563 192033 97698
80236 74041 44326
199439 150795 191122
166804 6102 7827
10910 69943 197634
141310 4249 65274
64618 194987 187498
188508 107540 51243
35678 159459 17300
31416 5707 109901
162592 11150 48994
53901 71991 145625
188220 94924 106181
63499 53572 19548
188999 186934 112711
79245 124435 166137
100782 69782 197891
65490 72249 135781
47261 184618 121127
135146 105854 64937
132921 80870 32313
173360 74463 198436
105514 161647 22735
132900 111821 54855
78920 43168 141589
150925 129708 45398
133429 189065 62155
99220 2197 196526
102181 47595 81285
76599 123476 171769
138709 16573 172265
103100 71594 110779
139531 127658 173812
189836 19212 97609
79165 117201 142902
161078 119202 98637
150394 53572 101265
166362 138441 42884
55628 16905 96446
185213 4498 21311
189809 45788 180743
24996 176128 158501
49847 111211 103502
133421 136014 150064
103664 29720 18501
116641 16935 143276
156938 106683 7476
183453 57708 114363
120070 59230 141047
83827 121522 9171
149246 30271 103229
16022 1537 197822
49424 114641 74506
145651 116694 149785
186680 101179 43637
37114 6241 130837
82852 192791 189931
110887 9160 104570
84308 71732 46378
188166 18467 118815
101041 125589 34759
34252 56318 197427
183417 129200 176553
185607 142490 72119
27013 117808 79307
61373 164843 87106
58701 167092 196478
25924 105435 48188
179998 184013 45924
133781 26054 63139
103124 145476 134134
190443 155772 193801
104909 116241 80320
156134 14595 55059
19615 30501 128032
46214 14803 140796
22709 15201 180106
60409 4375 5840
139432 112285 108102
34629 156658 80497
167532 146722 110897
121286 42552 139990
57085 159152 102136
17881 135345 112775
151489 157497 55584
32452 166809 55522
196333 159652 158657
107423 124387 154905
53086 104715 138374
54840 153073 195698
141738 168061 106798
68701 114718 44357
7896 100093 57998
193206 55988 75266
118081 173761 79693
102133 15158 176552
114240 197684 359
107960 42840 89551
94114 17396 427
77357 92673 146783
82445 35092 139901
38015 127312 53527
174908 31451 180244
121157 127316 3463
84818 153476 68669
147117 55123 48470
84473 13692 187222
140081 39876 16317
138555 6568 125716
62469 6101 121609
25658 175772 143550
48509 186021 132573
171362 35044 23407
36349 28107 72686
176941 152767 19224
141180 118093 63301
21553 80351 74427
33819 11306 157505
25438 157802 79601
49236 4689 57106
61602 105404 108709
96411 36903 6207
42076 151267 184727
8531 13062 158817
178845 801 96603
62120 70456 85222
99632 53806 109207
180932 120128 176079
19245 75444 70984
71807 196049 118002
192683 108177 129725
111784 194389 183736
82812 154840 62491
59213 46951 137056
155810 179472 535
108015 148889 155898
79482 17331 73535
6833 77743 116653
84384 130609 110002
181774 147426 163443
189924 139819 99747
140867 199007 96087
9485 180728 106714
43589 7301 73021
64331 146211 185011
28633 22891 2907
170706 17514 136156
110602 141015 130104
154372 136769 97755
60122 132039 170164
77413 185805 99783
174399 117740 155584
23953 92778 103178
60756 193259 67425
23558 159078 107109
65357 147162 117489
22674 8835 164716
183723 90505 39326
63370 169017 102470
45817 65334 126506
133245 129649 160878
185966 156311 13609
103236 176843 133941
150835 168085 50246
79799 78617 74685
87533 138763 162558
184324 11874 13887
188065 190475 65827
718 120928 177478
50754 16985 19162
183016 70850 11314
33128 36142 21661
23346 186091 10487
91092 189750 57723
6575 160241 199387
70689 138706 160467
74942 197727 91387
166886 134551 107804
23195 154163 69062
162808 126798 28704
115516 128672 141184
126852 169010 95677
155682 63693 133697
109656 83125 102563
77549 21205 109556
31473 111163 112472
169610 184390 63641
108592 23132 95863
65298 20386 19459
36690 80359 158124
111917 106976 186842
116657 10394 121146
132495 159275 127001
43979 189675 22581
72039 88674 157777
164180 64450 188232
63952 111831 165477
9112 39996 57457
19498 141392 198732
189719 143338 75648
48986 28105 186643
124429 140176 56412
163093 100016 2648
106640 103334 49533
163749 170856 139536
101240 155610 12403
51093 101127 136577
167338 92941 191262
182988 68119 120265
144300 138769 117171
189489 160024 98773
54493 32625 22334
91785 77693 55019
19690 135849 44826
109284 24619 113377
152150 192874 19387
184906 194237 161571
72041 60056 59684
176464 176514 127857
155997 169611 89265
159549 190653 125918
132437 194513 4751
165802 176164 8146
50505 153578 48703
183775 111971 125449
199194 63499 62423
80030 110102 134418
22019 23772 173760
148489 9810 12113
23412 118458 98745
8041 70108 74814
10240 47094 198610
52296 134256 28836
134408 126995 84466
44838 71740 83490
181527 94092 13394
66394 155298 109613
197147 190412 157696
5683 127034 23372
36325 162676 88733
173848 30477 107355
130106 68120 133343
179211 117339 97033
63070 103106 69264
70592 81814 88282
79894 113966 109069
49851 170533 47141
168648 83852 131719
63611 191906 130198
115030 94338 170502
134211 1180 40878
62348 126631 14817
50178 59670 50494
47171 183625 92167
28043 90950 47280
55384 66216 161017
138660 111767 31038
183003 9785 164301
134317 129383 179833
198751 197667 168301
191875 176202 33731
46453 176261 21142
93822 63493 128149
74394 93870 67226
135587 23891 122298
45064 174820 74270
163485 86756 40914
143063 11486 64156
20097 154009 196432
139132 126474 64930
36918 11977 166269
39293 52680 15378
27484 180160 58227
78109 170668 164896
64456 49914 74850
196614 180480 172183
75954 189164 126670
70211 83007 164372
118369 198012 196878
132214 38364 177545
168479 184260 49487
73084 156409 20988
194353 109075 141392
53247 167728 71045
128630 198123 131556
24197 163662 58451
95921 99460 33971
119608 114259 149864
34001 64648 127672
170087 191731 30233
139704 31765 163972
7860 167640 17295
164965 138110 192826
176285 20957 57416
61960 27210 22097
167403 182164 82902
104735 186612 146901
122788 142722 155743
110928 8873 67111
164985 195038 55323
107959 38669 28280
98611 89429 26522
20429 33334 143826
65950 43529 55483
108359 114671 60559
137580 196941 104950
192781 102199 54496
108649 8619 133651
65442 121408 94023
64288 103262 163697
92006 68272 131677
135559 84120 178304
98273 93667 149069
70870 125821 112839
65366 146919 192663
58113 101094 37151
144466 158718 179022
130352 128800 53621
62522 47776 126490
164441 4586 75532
118734 123126 167799
121789 131130 8697
74258 3936 129268
106619 42617 27493
193747 142064 189941
35397 196866 64911
129302 63981 106802
97384 62055 101959
90790 36305 43574
192530 158316 147700
193767 56587 160864
10257 120522 159119
140316 26430 121125
170636 135469 58470
73008 135488 84492
133465 70071 41114
68797 82332 59696
35585 159867 197409
65936 26577 131650
125059 129602 158981
64035 45648 36613
130257 3018 173922
22867 63809 12112
79523 48897 171244
47138 40639 64848
116246 190158 167207
123151 163031 56963
56054 65609 180461
159500 20110 26493
153834 154622 192236
157153 92504 679
115967 72367 196581
55609 63457 78459
145107 28431 170734
98901 189320 101002
1141 176327 123761
47554 51999 22582
55903 25396 140331
33744 146605 182264
109727 12711 60654
43073 89132 166043
16016 90532 112351
136586 191627 96319
72529 90724 184
162483 159788 179543
188615 170067 39175
81787 132007 7787
129434 27858 92974
169942 51206 131031
148701 64054 174049
30764 73799 185930
33214 10951 198443
20665 26333 65032
131152 181762 73065
106396 97583 38761
111278 51288 56205
144183 86680 100439
142812 173229 70684
100135 35045 178132
143572 94169 103921
9231 30298 124210
29261 154282 136824
7725 164590 160473
13483 80480 21107
147568 112778 1668
151253 199984 12985
123173 66061 120132
145705 109122 176690
197831 109131 171004
142312 97843 113564
180470 85385 141987
198117 167892 130633
126615 198403 60549
158287 3880 157791
162589 143271 11586
18347 31466 37654
82839 23895 137102
45636 185221 10046
164264 54315 151855
79774 140250 109110
64959 49645 125122
5292 42494 172534
169 15963 80311
193415 75705 35974
136163 199464 194832
115633 174856 59780
69128 125755 27430
33637 100123 107171
61774 59310 38244
48429 53784 160230
13493 156944 184778
36754 49430 88297
101926 127716 109163
33106 143715 71449
147856 77152 167343
183981 24447 74102
119461 29551 109138
90351 150430 90840
63905 73391 89763
78380 104426 64679
43115 108596 146566
62704 30207 119202
97015 64899 96179
68304 85742 197785
147934 149592 85684
9520 145978 121267
180568 38112 109291
77797 43037 68841
76428 110912 41610
183141 108996 147401
126360 183180 61144
102989 93775 56692
8347 45776 122291
99901 22163 61600
50028 120715 80713
10934 81431 86230
35644 105967 40029
71025 70362 35445
199867 102819 183753
73085 189003 9197
191594 115713 24694
128354 123728 96581
176623 59608 178661
85961 44032 132503
77219 33002 69673
19570 99689 188366
105814 14831 46891
101571 164554 11118
33845 35985 47781
73232 73306 38349
14564 182446 173224
192014 960 64914
116008 10138 129686
51031 36760 185405
167318 114970 33512
137098 53876 112799
6619 19945 195881
21234 123161 170333
81691 183159 28152
105641 118526 1457
40238 122021 143883
35096 136144 173097
193016 71306 141927
2292 173873 4518
168795 130609 132968
5663 4532 82719
75918 63833 26112
133350 112867 64923
164593 137139 178480
90124 189946 33914
114389 61480 73680
58836 161513 17645
162951 21265 186445
198478 185877 58234
56625 15037 171941
113928 105815 140793
90803 187118 34413
28715 114619 25113
137195 57308 159500
108504 142531 20380
183532 12272 187133
17428 130594 126102
15839 183306 23505
78592 140674 129778
74038 116093 102506
189980 84478 68781
97236 123085 32834
29919 102440 133529
183288 376 25314
32570 89348 150172
35928 128298 4587
75076 144971 71086
70905 140295 121360
164246 1834 16030
55350 26981 72282
173974 178496 125198
73658 132111 73251
76812 59555 27442
192525 196803 109595
191025 71324 149398
136751 82613 55239
88481 53542 174293
36327 199306 195644
65300 84403 197154
70238 70238 183464
27288 96487 48899
109429 179582 175562
80358 24923 35664
56275 91503 156853
5401 78811 137913
66321 68645 86673
184351 167337 183742
151210 164941 2842
133612 124024 191156
82700 198531 152031
85345 158961 8647
143907 33692 69444
107441 72433 43634
60822 148638 29249
66531 45129 89352
172611 141443 150048
3220 19773 122031
44649 135610 146754
194967 22086 117984
92512 32870 1883
30951 137808 71529
108224 187741 102066
21284 31164 142251
126820 53866 163362
79775 125471 1371
39091 92107 156188
56018 39361 5701
159084 371 16739
36499 166880 8260
197885 189257 46478
21196 185386 29260
104223 187816 79689
177492 63174 58785
65573 77213 92052
138392 123340 53021
120519 74156 38083
108419 102024 145390
43884 29324 151420
179019 57915 105813
184048 28646 22588
151672 160666 25576
9045 166809 85522
135012 119053 27536
156147 63609 177955
47078 127281 126604
150840 178444 173668
174456 71831 187437
44590 48204 81379
88980 89987 23000
64094 122919 146815
176942 16685 193351
121756 144066 114475
190305 153283 189896
83941 128370 61551
154983 116709 31484
183575 897 79015
74288 29032 51225
4999 10799 196738
13245 35604 44585
22842 141231 99396
57983 181414 172297
180971 70117 34628
151507 9295 28907
114902 187823 189487
44072 173490 189780
56494 180889 10371
124054 196330 73182
15038 1831 191637
6403 30850 34679
37776 108559 158092
85363 18427 189665
166656 52668 112419
127509 69001 100272
113384 65548 109227
90553 125078 169679
75900 8595 152710
180743 146174 1851
25021 6230 79981
75678 132370 109958
60447 56465 55020
57700 28629 102934
42697 181490 142689
126864 196930 102883
104368 146331 67968
164782 61635 49980
170133 117924 4497
88440 15291 57539
135263 107926 43248
3879 33150 5164
74269 73329 12493
94435 40084 38978
119663 10599 73258
119158 762 113251
112680 135839 149472
156045 185184 160191
111614 45043 163994
147184 103403 12636
196010 6066 28183
29690 73461 48213
16683 197727 107692
561 135688 139734
193209 87279 14656
188296 173991 5666
58043 104975 97679
139329 171526 96270
15661 199261 151208
82026 109581 95043
22629 39722 42607
4104 16984 21503
81408 13054 102171
75833 100217 113044
20262 15892 57145
118028 178869 81960
159617 72537 92327
80519 40259 66548
102122 148657 78554
136943 156177 73413
179544 130419 139097
112816 29630 152574
96062 134376 154943
187108 70753 44308
101278 194959 150909
101345 26753 6608
173259 29980 179541
53789 161050 79889
155846 174581 33312
148468 77214 82887
5982 57908 140809
123637 21682 32185
49652 5864 186576
105017 25837 34816
72513 198675 77065
129520 115676 137034
14248 160301 158362
175757 2817 95320
123734 99935 186624
116734 39183 91904
117939 194570 130314
91874 119536 144555
91404 115582 109789
117406 165951 155032
73157 66499 196462
122856 197454 171032
35480 116371 17355
123917 72674 179280
78626 167773 194259
41361 184818 115258
180976 188740 35705
73057 61035 146404
171860 193502 5637
170327 92783 78895
183302 4534 13522
175682 119057 75921
23466 187403 182353
56159 107354 182868
82426 21583 37637
185083 1416 170773
171851 25512 112710
90708 6922 60869
28729 81650 128446
143400 122565 77228
161136 43770 93678
197654 176466 159649
134563 197189 166762
46988 134205 61715
127095 102023 128281
58492 34503 77379
134652 31853 146358
73503 166438 108423
189962 12948 75602
120831 68736 35977
109661 196367 188559
53540 28019 177798
33443 185956 48870
16562 39568 161232
132746 66000 165538
169445 86427 63500
4053 182399 166755
131546 33997 42677
6307 138388 51485
175545 130962 101271
109597 133735 127702
111576 194188 102356
131383 190658 173931
132373 25870 41251
55906 83300 31051
143579 417 186828
38762 68734 22522
12286 57986 138093
69859 87992 81040
66055 60834 138104
198993 80045 161848
67619 90277 136115
61910 137578 2481
197215 118436 98550
189380 139699 58320
48728 147883 81137
178338 89407 122172
123617 186747 136547
140581 28215 9969
20205 40265 142180
5136 171643 25918
31410 6781 81756
152408 92764 2375
